2024-02-01 18:02:333 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (c970d4c3739db159db300a042390b1fa)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-01 18:02:562 INFO  LoginPage :40 - Clicking on LoginLink [[ChromeDriver: chrome on windows (c970d4c3739db159db300a042390b1fa)] -> link text: Login]
2024-02-01 19:02:301 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-01 19:02:740 INFO  HomePage :28 - Verifying Homepage Url
2024-02-01 19:02:825 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (56a6881537587356d7e1a54c6ee9635a)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-01 19:02:58 INFO  LoginPage :40 - Clicking on LoginLink [[ChromeDriver: chrome on windows (56a6881537587356d7e1a54c6ee9635a)] -> link text: Login]
2024-02-02 09:02:591 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-02 09:02:131 INFO  HomePage :28 - Verifying Homepage Url
2024-02-02 09:02:371 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (ebe938ce34924be75c5e1dbbb6455530)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-02 09:02:339 INFO  LoginPage :40 - Clicking on LoginLink [[ChromeDriver: chrome on windows (ebe938ce34924be75c5e1dbbb6455530)] -> link text: Login]
2024-02-02 09:02:962 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-02 09:02:619 INFO  HomePage :28 - Verifying Homepage Url
2024-02-02 09:02:994 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (b2050c98dc578031a6792bb719dabcdf)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-02 09:02:64 INFO  LoginPage :40 - Clicking on LoginLink [[ChromeDriver: chrome on windows (b2050c98dc578031a6792bb719dabcdf)] -> link text: Login]
2024-02-02 10:02:419 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-02 10:02:792 INFO  HomePage :28 - Verifying Homepage Url
2024-02-02 10:02:874 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (638e4d06a5f70157e3423e8a795ead7e)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-02 10:02:123 INFO  LoginPage :40 - Clicking on LoginLink [[ChromeDriver: chrome on windows (638e4d06a5f70157e3423e8a795ead7e)] -> link text: Login]
2024-02-02 10:02:571 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-02 10:02:927 INFO  HomePage :28 - Verifying Homepage Url
2024-02-02 10:02:19 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (0db9e7c597aa485fb5974a698ba6927b)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-02 10:02:230 INFO  LoginPage :40 - Clicking on LoginLink [[ChromeDriver: chrome on windows (0db9e7c597aa485fb5974a698ba6927b)] -> link text: Login]
